question,answer,question_type
_____ What is the full form of CPU?,Central Processing Unit,class_4
Which part of the human body has the smallest bone?,EAR,class_4
Penicillin was invented by ________.,Alexander Fleming,class_4
Saina Nehwal is related to which sport?,Badminton,class_4
Giza Pyramids situated in which country?,Egypt,class_4
Statue of liberty is situated in which city?,New York,class_4
Which is the most sensitive organ in the human body?,Skin,class_4
Computer was invented by _______.,Charles Babbage,class_4
Which animal is known as the ship of the desert?,Camel,class_4
An octagon has _____ sides.,8,class_4
Which colour represents peace?,White,class_4
How many players are there in a cricket team?,11,class_4
Which African country is famous for chocolate?,Ghana,class_4
Olympic Games are held every ____ years.,4,class_4
Which is the largest desert in the world?,Sahara Desert,class_4
Which is the tallest waterfall in the world?,Angel Falls,class_4
Which is the biggest animal in the world?,Antarctic Blue Whale,class_4
What is another name for Table Tennis?,Ping pong,class_4
Where will the 2024 Olympics be held?,Paris,class_4
Dipa Karmakar is associated with which sport?,Gymnastics,class_4
When was the first modern Olympics held?,"1896 (in Athens, Greece)",class_4
Where is leaning tower of Pisa located?,Italy,class_4
Where is Louvre Museum situated?,"Paris, France",class_4
Which river is nicknamed “Sorrow of China”?,Yellow River,class_4
"Where is world’s tallest building, Burj Khalifa, located?","Dubai, UAE",class_4
What was the name of the ISRO mission to Mars?,Mangalyaan,class_4
Who invented Java programming language?,James Gosling,class_4
Who is known as the father of C language?,Dennis Ritchie,class_4
What is the full form of bit?,Binary digit,class_4
What is the name of the supercomputer placed at Indian Institute of Tropical Meteorology (IITM)?,Pratyush,class_4
Which is the world’s fastest super computer?,Fugaku Supercomputer,class_4
Which number has no reciprocal?,1,class_4
A heptagon has _____ sides.,7,class_4
The sum of the angles of a triangle is _____.,180˚,class_4
Which blood cells in our body help to fight infections?,White Blood Cells,class_4
What is the full form of BMP?,Bit Map Picture,class_4
Monitor of a computer is an _______ device.,Output,class_4
How many oceans are there in the world?,7,class_4
In which country is Mount Everest located?,Nepal,class_4
What is the capital of Belgium?,Brussels,class_4
Who was the first President of India?,Dr Rajendra Prasad,class_4
Who invented telescope?,Galileo Galilei,class_4
Which is the smallest bird in the world?,Humming bird,class_4
Which is the largest country in terms of population?,China,class_4
Which is the largest delta in the world?,Sunderban delta (Ganges-Brahmaputra Delta),class_4
Durand Cup is related to which sport?,Football,class_4
World Red Cross Day is celebrated on ________.,May 8th,class_4
Which country is known as the “Land of Cakes”?,Scotland,class_4
Which is the world’s largest coral reef system?,The Great Barrier Reef,class_4
Which is the biggest bird in the world?,Ostrich,class_4
The Statue of Liberty was a gift to the USA from which country?,France,class_4
The largest moon of Saturn is ________.,Titan,class_4
The term “wicket” is related to which sport?,Cricket,class_4
Name an insect with colourful wings?,Butterfly,class_4
Which state is known as the Orchid Paradise of India?,Arunachal Pradesh,class_4
Name the acid present in apple,Malic acid,class_4
Which country awards Nobel Prize?,Sweden,class_4
What is the currency of Malaysia?,Malaysian Ringgit,class_4
Measurement of right angle is ___________.,90˚,class_4
What is a triangle with two equal sides called?,Isosceles triangle,class_4
Which metal is used to make the filament of an electric bulb?,Tungsten,class_4
How many consonants are there in the English alphabet?,73,class_4
Trout and Carp are types of _________.,Fish/strong>,class_4
A polygon with 8 sides is called __________.,Octagon,class_4
Which organ purifies our blood?,Kidney,class_4
The animal with a hump on its back is _?,Camel,class_4
The brain of a computer is _.,CPU,class_4
The largest continent is _.,Asia,class_4
Who wrote ‘Ramayana’?,Valmiki,class_4
How many bones are there in a newborn baby?,300,class_4
Martyrs’ Day is celebrated every year on _.,30th January,class_4
The fastest animal on earth is?,Cheetah,class_4
Earth Day celebrated on?,April 22nd,class_4
The National Tree of India is?,Banyan Tree,class_4
Which is the tallest animal in the world?,Giraffe,class_4
What is the full form of RAM?,Random Access Memory,class_4
Who wrote ‘Discovery of India’?,Jawaharlal Nehru,class_4
Which is the tallest statue in the world?,"The Statue of Unity, India",class_4
Young one of the horses is called?,Colt,class_4
How many players are there in a cricket team?,11,class_4
How many days does earth take to revolve around the sun?,365 days,class_4
The biggest sea animal is _.,Dolphin,class_4
Which is the largest desert in India?,Thar desert,class_4
Which is the densest jungle in the world?,Amazon,class_4
When is Teacher’s Day celebrated?,September 5th,class_4
A place where bees are kept is called _.,Aviary,class_4
How many sides are there in a pentagon?,Five,class_4
Which is the smallest state in India?,Goa,class_4
Who is the father of our Nation?,Mahatma Gandhi,class_4
Which is the 4th planet of our solar system?,Mars,class_5
Which is the largest river in the world?,Amazon,class_5
Name a plant that grows in the desert?,Cactus,class_5
Which is the brightest planet in the solar system?,Venus,class_5
A football team consists of how many members?,11,class_5
What is the young one of a cow called?,Calf,class_5
Which is the largest ocean in the world?,Pacific Ocean,class_5
The branch of science that deals with earthquakes is called ___________,Seismology,class_5
“Wings of Fire” is the autobiography of ______________,Dr. APJ Abdul Kalam,class_5
Which is the national bird of the USA?,Bald Eagle,class_5
The smallest bone in the human body is __________,Stapes (located in the ear),class_5
Which is the deepest oceanic trench in the world?,Mariana Trench,class_5
Name a country without an official capital?,Nauru,class_5
Name the capital of Romania?,Bucharest,class_5
Which is the largest plateau in the world?,Tibetan Plateau,class_5
Young one of a horse is called?,Foal,class_5
How many bones does an adult human body have?,206,class_5
"Who wrote the famous play, “Romeo and Juliet”?",William Shakespeare,class_5
Atacama Desert is located in which continent?,South America,class_5
Study of the universe is called?,Cosmology,class_5
Mt. Vesuvius is located in which country?,Italy,class_5
Who is known as the “Father of Indian Space Program”?,Vikram Sarabhai,class_5
Mt. Abu is located in?,India,class_5
What is the capital of Armenia?,Yerevan,class_5
"“B” in BRICS, an international organization, stands for?",Brazil,class_5
Where is Spratly Islands located?,South China Sea,class_5
Where is the headquarters of European Union located?,"Brussels, Belgium",class_5
In which city is the world’s largest port located?,Shanghai,class_5
For which event did Neeraj Chopra win a gold medal at the 2020 Tokyo Olympics?,Javelin throw,class_5
In which year did India win the first Cricket World Cup?,1983,class_5
In which year was South Asian Association for Regional Cooperation (SAARC) established?,1985,class_5
Which country is known as the “land of the blue sky”?,Mongolia,class_5
Richter Scale is used to measure _________,Magnitude of earthquakes,class_5
Coco Islands are located in which sea?,Bay of Bengal,class_5
Who wrote the book “Midnight’s children”?,Salman Rushdie,class_5
Who was the first person to go to space?,Yuri Gagarin,class_5
Which is the deepest lake in the world?,Lake Baikal,class_5
Name the device that provides power to the connected devices of a computer during power outages?,Uninterrupted Power Supply (UPS),class_5
What is the full form of URL?,Uniform Resource Locator,class_5
Who invented World Wide Web (www)?,Tim Berners-Lee,class_5
When did the Internet come into existence?,1-Jan-83,class_5
"Where is the headquarters of Kaspersky Lab, the popular cyber security and anti-virus provider, located?",Moscow,class_5
Name the planet in our solar system that is known as the “Red Planet”,Mars,class_5
Name the scientist who discovered gravity?,Sir Isaac Newton,class_5
Whose birthday is celebrated as “Engineer’s Day” in India?,Sir M Visvesaraya,class_5
Between which planets does the asteroid belt exist in our solar system?,Mars and Jupiter,class_5
Who invented dynamite?,Alfred Nobel,class_5
"Name the country Alfred Nobel, the famous inventor, was born in?",Sweden,class_5
Which is the longest bone in the human body?,Femur (thigh bone),class_5
Who invented airplanes?,Wright brothers (Orville Wright and Wilbur Wright),class_5
Which galaxy does solar system belong to?,Milky Way,class_5
What is the speed of light in vacuum?,"3,00,000 km/sec",class_5
Which gas is commonly found in our universe?,Hydrogen,class_5
When is World Heritage Day celebrated?,18-Apr,class_5
Which is the smallest continent in the world?,Australia,class_5
Telephone was invented by ___________,Alexander Graham Bell,class_5
Who invented light bulb?,Thomas Alva Edison,class_5
Which is the national game of the USA?,Baseball,class_5
Which is the lightest gas?,Hydrogen,class_5
Branch of science that deals with scientific study of insects is known as _________,Entomology,class_5
Who invented the television?,John Logie Baird,class_5
Who was known as “Indian Napolean”?,Samudragupta,class_5
The total distance between the Sun and the Earth is ___________,149.6 Million km,class_5
Who formulated the theory of relativity?,Albert Einstein,class_5
Which mathematician is known as the “Prince of Indian Mathematics”?,Srinivasa Ramanujan,class_5
Sound cannot travel through _________,Vacuum,class_5
What is the full form of ROM?,Read-Only Memory,class_5
Name the smallest ocean in the world?,Arctic Ocean,class_5
Goitre is caused by the deficiency of?,Arctic Ocean,class_5
The term “LBW” is related to which sport?,Cricket,class_5
In which year did Christopher Columbus discover America?,1492,class_5
Which is the tallest mountain in the world?,Mount Everest,class_5
"The famous novel, Alice in Wonderland, was written by?",Lewis Carroll,class_5
"Name the ocean in which the famous ship, Titanic, had sunk?",North Atlantic Ocean,class_5
What is the scientific name of tomato?,Solanum lycopersicum,class_5
1024 kilobytes is equal to _.,1 Megabyte(MB),class_5
Who is Paulo Coelho?,Brazilian Novelist,class_5
A figure with 6 sides is known as ________.,Hexagon,class_5
What do UPS stand for?,Uninterrupted Power Supply,class_5
At which temperature does water boil?,100◦C,class_5
Name the acid in lemon.,Citric acid,class_5
Which is the first animal to land on the moon?,"Laika, The dog",class_5
Name the two Oceans in which Australia is sandwiched between?,The Indian Ocean and The Pacific Ocean,class_5
What do AM and PM stand for?,AM stands for Ante Meridiem and PM stands for Post Meridiem,class_5
Statue of Liberty is in _.,New York City,class_5
Name the five layers of Earth’s atmosphere.,"Exosphere, Thermosphere, Mesosphere, Stratosphere and Troposphere",class_5
Name the border of India and Pakistan.,Radcliffe Line ,class_5
What is Ablutophobia?,It is the Fear of Bathing,class_5
What is the full form of  HTTP?,Hypertext Transfer Protocol,class_5
Identify the Tennis Player.,Roger Federer,class_5
Which is the coldest planet in our solar system?,Neptune,class_5
Which gas is known as “Laughing gas”?,Nitrous Oxide,class_5
Name the largest temple in the World.,Angkor Wat,class_5
Which of the following is not a component of chlorophyll?  a) Magnesium b)  Carbon c) Calcium d) None of These,C. Calcium,class_5
Which is the largest freshwater lake in the world?,Lake Baikal,class_5
What is the full form of MBBS?,Bachelor of Medicine and Bachelor of Surgery,class_5
Who is the founder of Buddhism?,Siddhartha Gautama,class_5
What is the capital of Italy?,Rome,class_5
When is UN day celebrated?,24-Oct,class_5
Who is the fastest man in the world?,Usain Bolt,class_6
In which year was the Battle of Plassey fought?,1757,class_6
At which age Gautham Buddha got Nirvana?,35,class_6
Who is known as the father of history?,Herodotus,class_6
What was the ancient name of Patna?,Pataliputra,class_6
What is the square root of 144?,12,class_6
Who gave the slogan “Do or Die”?,Mahatma Gandhi,class_6
Why are the leaves green in color?,Due to the presence of Chlorophyll,class_6
Name the acid that is secreted in the stomach?,Hydrochloric acid,class_6
Which is the highest civilian award of the Republic of India?,The Bharat Ratna Award,class_6
WWW stands for?,World Wide Web,class_6
World Environment Day is celebrated on _.,5-Jun,class_6
Plants that develop in dry conditions are,Xerophytes,class_6
Where is ‘Great Bear Lake’ found in the world?,Canada ,class_6
What is the full form of Wifi?,Wireless Fidelity,class_6
Who is the writer of ‘Panchathantra’?,Vishnu Sharma,class_6
Who is the 14th President of India?,Ram Nath Govind,class_6
Which is the biggest bone in the human body?,Femur,class_6
Who was the inventor of the light bulb?,Thomas Alwa Edison,class_6
Opium is obtained from the dry latex from which part of the Papaver somniferum Plant?,Poppy,class_6
Which Vitamin helps to heal the wound,Vitamin C,class_6
Which is the mineral found in teeth and limestones?,Calcium,class_6
Who was at the helm of the Philadelphia Phillies in the 2011 season?,Charlie Manuel,class_6
Which is the largest lake in Japan?,Biwa,class_6
What is the weight of a cricket ball?,5.75 ounces,class_6
Which is the only even prime number?,2,class_6
Who invented the number zero?,Aryabhatta,class_6
How many degrees are there in a circle?,360,class_6
What is the shape of dice?,Cube,class_6
How many decimal points are there in a number?,One,class_6
How many seconds are there in an hour?,3600,class_6
A triangle with all side equal is called_?,Equilateral triangle,class_6
Which is the first odd composite number?,33,class_6
What is a polygon with five sides called?,Pentagon,class_6
How many years is a decade?,Ten,class_6
A raindrop is of which geometric shape?,Sphere,class_6
What is the approximate value of pi?,3.14,class_6
90 minutes amount to ___ hours?,1.5,class_6
What is the value of Golden Ratio?,1.618,class_6
What is a triangle with all three sides of different lengths called?,Scalene triangle,class_6
Which polygon has opposite sides and angles equal?,Parallelogram,class_6
Which number is neither prime nor composite?,1,class_6
A polygon with all four sides and angles equal is called___?,Square,class_6
How many seconds are there in a day?,86400,class_6
How many sides does the base of a pyramid have?,4,class_6
Fourth Buddhist council held during the reign of which emperor?,Kanishka,class_6
In which year did Mahatma Gandhi start Dandi March?,1930,class_6
Who is the founder of Chola Dynasty?,Vijayalaya,class_6
Which was the first animal to go to space?,Dog,class_6
Zawar mines are located in which Indian state?,Rajasthan,class_6
Which country is the first in Asia to launch a plastics pact?,India,class_6
What is the capital of Finland?,Helsinki,class_6
Ozone layer is in which layer of the atmosphere?,Stratosphere,class_6
What is the capital of Morocco?,Mozambique,class_6
Which is the longest river in the world?,Nile,class_6
Mount Aconcagua is located in which mountain ranges?,Andes,class_6
Which Indian state was the first to introduce the “Oak Tussar Industry”?,Manipur,class_6
National Research Centre on Yak (NRCY) is located in which Indian state?,"Arunachal Pradesh
",class_6
Which is the largest river on Earth?,"Amazon river
",class_6
Which is the most spoken language in the world?,Mandarin Chinese,class_6
Which is the highest mountain peak of India?,Kanchenjunga,class_6
Who was the first president of the USA?,George Washington,class_6
How many fundamental rights are mentioned in the Indian Constitution?,6,class_6
Who is popularly known as the Napolean of India?,Samudragupta,class_6
Who was known as Punjab Kesari?,Lala Lajpat Rai,class_6
When is World Health Day observed?,7-Apr,class_6
What was the theme of World Health Day 2022?,"Our Planet, Our Health",class_6
October,"Our Planet, Our Health",class_6
Which planet is known as the Morning/Evening star?,Venus,class_6
Which continent invests the most in solar power?,Asia,class_6
Who won the 2022 International Women of Courage Award?,Rizwana Hassan,class_6
What is the theme for World Wildlife Day 2022?,Recovering key species for ecosystem restoration,class_6
What is the name of ISRO’s new humanoid robot that will go to space next?,Vyommitra,class_6
Which country is known as the Pearl of the Orient Seas?,"Philippines
",class_6
Who is known as the father of Indian nuclear program?,Homi J Bhabha,class_6
Who invented radio?,Guglielmo Marconi,class_6
Which is the longest river in Europe?,Volga River,class_6
Which was the first metal used by Harappan civilization?,Copper,class_6
Thomas Cup is related to which sport?,"Badminton
",class_6
How many players are there in an ice hockey team?,Six,class_6
Ryder Cup is related to which sport?,Golf,class_6
Which country invented paper?,China,class_6
Who has been reappointed as the President of the World Health Organization (WHO)?,Tedros Ghebreyesus,class_6
Which day is observed as International Literacy Day?,8-Sep,class_6
Who was known as the Missile Man of India?,Dr. APJ Abdul Kalam,class_6
Name the marine animal known as “sea cow”?,Manatees,class_6
Which is the protein found in nails?,Keratin,class_6
Which instrument is used to measure blood pressure?,Sphygmomanometer,class_6
Which mineral is found in teeth?,"Calcium
",class_6
Which acid is secreted in the stomach?,Hydrochloric acid,class_6
Who is known as the “father of vaccination”?,Edward Jenner,class_6
Which is the slowest moving animal on Earth?,The three-toed sloth,class_6
Which only metal in liquid form at room temperature?,Mercury,class_6
Which is known as the Father of modern medicine?,Hippocrates,class_6
Which scientist developed the Theory of Relativity?,Albert Einstein,class_6
The air we breathe is majorly composed of which gas?,Nitrogen,class_6
What is the chemical name of Vitamin C?,Ascorbic acid,class_6
Plaster of Paris is made of ____?,Gypsum,class_6
Hematite is the ore of which metal?,Iron,class_6
Who discovered Penicillin?,Alexander Fleming,class_6
Which planet has the biggest known volcano in our solar system?,Mars,class_6
Who invented telephone?,Alexander Graham Bell,class_6
World Homoeopathy Day is observed on ______,10-Apr,class_7
What is the square of 42?,1764,class_7
Baku is the capital of which country?,Azerbaijan,class_7
Name the currency used in Japan?,Yen,class_7
"Which lake is situated in the border of countries, Peru and Bolivia?",Lake Titicaca,class_7
The distance travelled by light in one year is called _______,Light Year,class_7
When is World Hearing Day?,23-Mar,class_7
What is the theme of World Hearing Day 2022?,"To hear for life, listen with care!",class_7
________________ is known as “antisterility vitamin”?,Vitamin E,class_7
Name a non-metal that conducts electricity?,Graphite,class_7
Birth anniversary of Sardar Vallabhbhai Patel is observed as?,National Unity Day (Rashtriya Ekta Divas),class_7
Who discovered X-Rays?,Wilhelm Conrad Roentgen,class_7
Name the main gases present in the Sun?,Hydrogen and Helium,class_7
Name the capital of Kingdom of Bahrain?,Manama,class_7
What is the theme of World Meteorological Day 2022?,Early Warning and Early Action,class_7
What is the capital of Norway?,Oslo,class_7
Name the compound necessary for photosynthesis in leaves?,Chlorophyll,class_7
What are the tiny pores present in plant leaves called?,Stomata,class_7
Who invented electricity?,Benjamin Franklin,class_7
Name the continent known as “Dark Continent”?,Africa,class_7
______ is the hardest substance available on Earth.,Diamond,class_7
Name the instrument used to measure atmospheric pressure,Barometer,class_7
Who was the first woman to go to space?,Valentina Tereshkova,class_7
Which bird is known for its intelligence?,Owl,class_7
Which is the gas absorbed by plants?,Carbon Dioxide,class_7
What is the capital of Denmark?,Copenhagen,class_7
Olympic Games of which year were cancelled due to World War I?,1916,class_7
How many players are there in a Kho Kho team?,9,class_7
Who was the first President of the United States?,George Washington,class_7
Name the continent with the highest population density?,Asia,class_7
Beriberi disease is caused by the deficiency of _________,Vitamin B,class_7
Scientific study of birds is called _______,Ornithology,class_7
Name the organ responsible for blood purification in human body,Kidney,class_7
What is the name of the process where excess water in plants gets released?,Transpiration,class_7
What is the main source of energy produced through photosynthesis in plants?,Glucose,class_7
The measure of moisture in the air is known as _________,Humidity,class_7
A decagon has _______ sides.,10,class_7
3 raised to power 0 is ________.,1,class_7
Which is the smallest three-digit number?,1000,class_7
Which is the largest three-digit number?,999,class_7
What is the cube root of 27?,3,class_7
What is another name for Northern Lights?,Aurora Boralis,class_7
There are a total of _____ time zones in the world.,24,class_7
What is the full form of GPS?,Global Positioning System,class_7
Which famous explorer discovered Cuba?,Christopher Columbus,class_7
Which is the hardest substance on the human body?,Tooth enamel,class_7
Where is the headquarters of UNESCO located?,"Paris, France",class_7
Which planet is known as Earth’s Twin?,Venus,class_7
Which is the loudest animal on Earth?,Sperm whale,class_7
Which blood group is known as “universal donor”?,O+,class_7
_____ is a flying mammal.,Bat,class_7
Which animal has fingerprints similar to that of humans?,Koala,class_7
What is the colour of polar bear’s skin?,Black,class_7
Which protein is a fingernail made of?,Keratin,class_7
Which bird can fly backward?,Humming bird,class_7
Who was the first woman to win a Nobel Prize?,Marie Curie (in the year 1903),class_7
_____ is the warmest sea on Earth.,Read Sea,class_7
Which is the fastest snake in the world?,Black Mamba,class_7
Which is the largest organ in the human body?,Skin,class_7
Which is the largest lake in Japan?,Biwa,class_7
Name the vitamin that helps to heal wounds?,Vitamin C,class_7
Equilateral polygons have all ______ equal.,Sides,class_7
Which country does famous footballer Lionel Messi belong to?,Argentina,class_7
The atomic number of Iron (Fe) is _____.,26,class_7
What is the capital of United Arab Emirates (UAE)?,Abu Dhabi,class_7
Golfer Vijay Singh belongs to which country?,Fiji,class_7
Which blood cells do not have a nucleus?,Blood platelets,class_7
Who authored the renowned novel “The Godfather”?,Mario Puzo,class_7
RAM is located in which part of the computer?,Mother board,class_7
Who was nicknamed the “Little Corporal”?,Napolean Bonaparte,class_7
The ceiling of Sistine Chapel has frescos painted by which famous painter?,Michelangelo,class_7
What was the court language used by Mughals?,Persian,class_7
Orange Prize is related to the field of ____________.,Literature,class_7
When did World War II start?,1939,class_7
Vienna is the capital of which country?,Austria,class_7
Who discovered Protons?,Rutherford,class_7
What does ‘Xylem’ in plants do?,Transport water,class_7
Which is the ‘class’ of Octopus?,Cephalopod,class_7
What does Big Bang Theory explain?,Origin of Universe,class_7
Who is the author of ‘Origin of Species’?,Charles Darwin,class_7
What kind of mosquito carries malaria?,Anopheles Mosquitoes,class_7
Name the smallest Ocean.,Arctic Ocean,class_7
Which day is celebrated as World Consumer Rights Day?,15-Mar,class_7
What is Light year?,It is the unit of distance,class_7
Which is the sacred book of Buddhists?,Tripitakas,class_7
Cataract is the disease of _.,Eye,class_7
What is the SI unit of Force?,Newton,class_7
Who is the author of ‘Wings of Fire’?,A.P.J. Abdul Kalam,class_7
Who is the father of Economics?,Adam Smith,class_7
What is the common name of Sodium Carbonate?,Washing Soda,class_7
What is Phycology?,Study of Algae,class_7
Which is the first Asian country to orbit Mars?,India,class_7
Which country is the largest producer of Coffee?,Brazil,class_7
The terms’ Bull and Bear’ is associated with __________.,Stock Market,class_7
Where are the HeadQuarters of UNESCO?,"Paris, France",class_7
Which are the colors of the rings of the Olympic flag?,"Black, Red, Blue, Green, and Yellow",class_7
Who invented ‘Lift’?,Elisha Graves Otis,class_7
Which river crosses the equator twice?,Congo River,class_7
Which is the device used to locate submerged objects under sea?,SONAR,class_7
Hi,Welcome to ChatGTP,user_added
Who is the developer of ChatGTP,Mr. Ashish W,user_added
